id_producto,nombre,costo_forecast,costo_economic,faltante_economic,excedente_economic,fill_rate_economic,critical_ratio,ahorro_vs_forecast
PROD_003,Cappuccino,2930867,2635999,349,1048,0.9648018111272354,0.6644518272425249,294868
PROD_002,Café con Leche,2332021,2099190,365,1038,0.9618283778655176,0.6543385490753911,232831
PROD_006,Croissant,2464232,2337862,417,1126,0.9694836427674015,0.6524822695035462,126371
PROD_008,Jugo de Naranja,4318802,4194200,619,1140,0.954362321547287,0.594059405940594,124602
PROD_005,Buñuelo,1932638,1829896,430,1341,0.9715833413665362,0.6746031746031746,102743
PROD_001,Tinto,1080562,991439,232,737,0.9669292311794524,0.6772908366533864,89123
PROD_004,Pan de Bono,1361328,1316844,312,740,0.9469857663370963,0.6382978723404256,44484
PROD_007,Pastel de Pollo,2762954,2744010,636,962,0.956220937845563,0.56657223796034,18943
